Company Name,Stock Code,Industry33,Market
極洋,1301,水産・農林業,東証1部
日本水産,1332,水産・農林業,東証1部
サカタのタネ,1377,水産・農林業,東証1部
マルハニチロ,1333,水産・農林業,東証1部
ホクト,1379,水産・農林業,東証1部
アクシーズ,1381,水産・農林業,東証JASDAQスタンダード
カネコ種苗,1376,水産・農林業,東証1部
ホクリヨウ,1384,水産・農林業,東証1部
秋川牧園,1380,水産・農林業,東証JASDAQスタンダード
ベルグアース,1383,水産・農林業,東証JASDAQスタンダード
ホーブ,1382,水産・農林業,東証JASDAQスタンダード
TOTO,5332,ガラス・土石,東証1部
旭硝子,5201,ガラス・土石,東証1部
日本碍子,5333,ガラス・土石,東証1部
太平洋セメント,5233,ガラス・土石,東証1部
日本特殊陶業,5334,ガラス・土石,東証1部
日本電気硝子,5214,ガラス・土石,東証1部
東海カーボン,5301,ガラス・土石,東証1部
住友大阪セメント,5232,ガラス・土石,東証1部
ニチアス,5393,ガラス・土石,東証1部
ニチハ,7943,ガラス・土石,東証1部
日東紡績,3110,ガラス・土石,東証1部
MARUWA,5344,ガラス・土石,東証1部
日本板硝子,5202,ガラス・土石,東証1部
ノリタケカンパニーリミテド,5331,ガラス・土石,東証1部
オハラ,5218,ガラス・土石,東証1部
東洋炭素,5310,ガラス・土石,東証1部
フジミインコーポレーテッド,5384,ガラス・土石,東証1部
三谷セキサン,5273,ガラス・土石,東証1部
日本カーボン,5302,ガラス・土石,東証1部
黒崎播磨,5352,ガラス・土石,東証1部
品川リフラクトリーズ,5351,ガラス・土石,東証1部
SECカーボン,5304,ガラス・土石,東証2部
日本コンクリート工業,5269,ガラス・土石,東証1部
イソライト工業,5358,ガラス・土石,東証1部
ジオスター,5282,ガラス・土石,東証2部
アジアパイルホールディングス,5288,ガラス・土石,東証1部
日本ヒューム,5262,ガラス・土石,東証1部
日本山村硝子,5210,ガラス・土石,東証1部
東京窯業,5363,ガラス・土石,東証1部
