,Unnamed: 0,rest company,rest company industry
0,0,4096,化学
1,1,8192,小売業
2,2,8193,小売業
3,3,2051,食料品
4,4,2052,食料品
5,5,8197,8197
6,6,8196,小売業
7,7,4103,4103
8,8,2056,食料品
9,9,4104,4104
10,10,2057,2057
11,11,8195,8195
12,12,8199,8199
13,13,4108,4108
14,14,8206,8206
15,15,2059,その他製品
16,16,6162,機械
17,17,8211,8211
18,18,8212,8212
19,19,8213,8213
20,20,8210,8210
21,21,8216,小売業
22,22,4123,4123
23,23,8229,医薬品
24,24,8232,8232
25,25,8234,8234
26,26,8235,8235
27,27,8236,小売業
28,28,8238,8238
29,29,8239,8239
30,30,8240,8240
31,31,8241,8241
32,32,8243,8243
33,33,8245,小売業
34,34,8246,小売業
35,35,2102,2102
36,36,8248,小売業
37,37,6204,6204
38,38,6206,6206
39,39,2111,2111
40,40,8258,8258
41,41,6211,機械
42,42,6212,6212
43,43,6213,6213
44,44,6214,6214
45,45,8259,8259
46,46,6216,6216
47,47,8263,小売業
48,48,8262,8262
49,49,2116,食料品
50,50,8261,8261
51,51,6221,6221
52,52,8264,8264
53,53,8266,小売業
54,54,8268,8268
55,55,8269,8269
56,56,8272,8272
57,57,8270,小売業
58,58,8271,8271
59,59,8277,8277
60,60,2128,サービス業
61,61,2132,サービス業
62,62,4184,4184
63,63,8280,8280
64,64,2131,サービス業
65,65,6231,機械
66,66,6230,機械
67,67,6229,機械
68,68,8286,8286
69,69,6242,機械
70,70,8292,8292
71,71,8294,8294
72,72,8295,8295
73,73,8296,8296
74,74,4201,化学
75,75,8299,8299
76,76,6252,6252
77,77,4209,4209
78,78,4210,4210
79,79,4213,4213
80,80,4214,4214
81,81,4219,化学
82,82,6270,6270
83,83,4225,4225
84,84,4230,4230
85,85,6280,機械
86,86,4232,4232
87,87,4236,4236
88,88,6288,6288
89,89,2202,食料品
90,90,4251,化学
91,91,2205,2205
92,92,2213,2213
93,93,6311,6311
94,94,6313,6313
95,95,2219,2219
96,96,6318,6318
97,97,4271,化学
98,98,6320,6320
99,99,6321,機械
100,100,6329,6329
101,101,4283,情報・通信業
102,102,4292,4292
103,103,6341,6341
104,104,6344,6344
105,105,6350,6350
106,106,6353,6353
107,107,6354,6354
108,108,8183,8183
109,109,2261,食料品
110,110,2262,食料品
111,111,6359,6359
112,112,4313,4313
113,113,6372,6372
114,114,4325,4325
115,115,6374,機械
116,116,6375,機械
117,117,6377,6377
118,118,2284,食料品
119,119,4332,4332
120,120,2287,2287
121,121,6385,6385
122,122,6386,6386
123,123,2290,食料品
124,124,6388,6388
125,125,6389,6389
126,126,4340,情報・通信業
127,127,6394,6394
128,128,6397,機械
129,129,6398,6398
130,130,4358,情報・通信業
131,131,4363,4363
132,132,2322,サービス業
133,133,6421,精密機器
134,134,6423,6423
135,135,6426,6426
136,136,6427,6427
137,137,4382,情報・通信業
138,138,6431,6431
139,139,4384,情報・通信業
140,140,4386,情報・通信業
141,141,6437,機械
142,142,4390,情報・通信業
143,143,4392,情報・通信業
144,144,6441,6441
145,145,6442,6442
146,146,6443,機械
147,147,4396,情報・通信業
148,148,6453,機械
149,149,6456,6456
150,150,2364,2364
151,151,6468,6468
152,152,4420,情報・通信業
153,153,4423,情報・通信業
154,154,6475,6475
155,155,4427,情報・通信業
156,156,6477,6477
157,157,4430,情報・通信業
158,158,4433,情報・通信業
159,159,4434,情報・通信業
160,160,6483,6483
161,161,6487,機械
162,162,2392,サービス業
163,163,4440,情報・通信業
164,164,2394,サービス業
165,165,6491,6491
166,166,4443,情報・通信業
167,167,4439,情報・通信業
168,168,4446,情報・通信業
169,169,2399,サービス業
170,170,4441,情報・通信業
171,171,4449,情報・通信業
172,172,6499,6499
173,173,6510,6510
174,174,2414,サービス業
175,175,2419,サービス業
176,176,6519,6519
177,177,4481,情報・通信業
178,178,4494,情報・通信業
179,179,2450,サービス業
180,180,4501,4501
181,181,4505,4505
182,182,4509,4509
183,183,4511,4511
184,184,2466,2466
185,185,4515,4515
186,186,6564,サービス業
187,187,4518,4518
188,188,6566,サービス業
189,189,4520,4520
190,190,2473,2473
191,191,4522,4522
192,192,6571,サービス業
193,193,2476,2476
194,194,6569,サービス業
195,195,6570,サービス業
196,196,6572,サービス業
197,197,4529,4529
198,198,6578,サービス業
199,199,4532,4532
200,200,6581,機械
201,201,4533,4533
202,202,4535,医薬品
203,203,6583,6583
204,204,6585,電気機器
205,205,4537,医薬品
206,206,6587,6587
207,207,4545,4545
208,208,4546,4546
209,209,4560,4560
210,210,6621,電気機器
211,211,2532,2532
212,212,2536,食料品
213,213,2541,2541
214,214,6646,6646
215,215,6650,6650
216,216,4614,化学
217,217,6665,電気機器
218,218,2571,2571
219,219,2572,食料品
220,220,2574,2574
221,221,2575,2575
222,222,2576,2576
223,223,2577,2577
224,224,2578,食料品
225,225,2580,食料品
226,226,2591,2591
227,227,2592,2592
228,228,2595,2595
229,229,4643,4643
230,230,2596,2596
231,231,2598,2598
232,232,2601,2601
233,233,6699,電気機器
234,234,2604,2604
235,235,2605,2605
236,236,4654,サービス業
237,237,6705,6705
238,238,2611,食料品
239,239,6708,電気機器
240,240,4660,4660
241,241,6710,6710
242,242,6711,6711
243,243,6712,6712
244,244,6714,6714
245,245,6717,6717
246,246,4683,4683
247,247,6735,6735
248,248,4691,サービス業
249,249,4692,4692
250,250,6746,6746
251,251,6749,電気機器
252,252,6751,電気機器
253,253,4703,4703
254,254,2657,卸売業
255,255,4706,4706
256,256,2660,小売業
257,257,4710,4710
258,258,6759,電気機器
259,259,4711,サービス業
260,260,6761,6761
261,261,8809,不動産業
262,262,4715,4715
263,263,6764,6764
264,264,6765,6765
265,265,6766,電気機器
266,266,6767,電気機器
267,267,8815,不動産業
268,268,8817,8817
269,269,8265,8265
270,270,4723,サービス業
271,271,4724,サービス業
272,272,8821,不動産業
273,273,6774,6774
274,274,2671,2671
275,275,3789,情報・通信業
276,276,8826,8826
277,277,4730,4730
278,278,6780,6780
279,279,8829,8829
280,280,6782,6782
281,281,6783,6783
282,282,8832,8832
283,283,8833,不動産業
284,284,6781,6781
285,285,8834,不動産業
286,286,8831,8831
287,287,8837,8837
288,288,8838,不動産業
289,289,6791,情報・通信業
290,290,6792,6792
291,291,6793,電気機器
292,292,8839,8839
293,293,6795,6795
294,294,1757,建設業
295,295,8845,8845
296,296,8846,8846
297,297,6799,6799
298,298,6801,電気機器
299,299,6802,6802
300,300,1759,1759
301,301,8852,8852
302,302,6805,6805
303,303,8853,8853
304,304,8855,8855
305,305,6808,6808
306,306,8857,8857
307,307,8858,8858
308,308,8859,8859
309,309,4756,4756
310,310,6813,6813
311,311,1761,建設業
312,312,8863,8863
313,313,2717,2717
314,314,8865,8865
315,315,6818,電気機器
316,316,8868,8868
317,317,8870,不動産業
318,318,4774,4774
319,319,2728,2728
320,320,8873,8873
321,321,8874,8874
322,322,8875,不動産業
323,323,6827,6827
324,324,6825,6825
325,325,8878,8878
326,326,8879,不動産業
327,327,8880,不動産業
328,328,6833,電気機器
329,329,8882,8882
330,330,2731,2731
331,331,2738,小売業
332,332,3394,卸売業
333,333,4790,4790
334,334,8888,8888
335,335,6842,電気機器
336,336,6843,6843
337,337,4795,4795
338,338,4796,4796
339,339,4798,サービス業
340,340,6847,6847
341,341,8896,8896
342,342,8895,不動産業
343,343,4799,情報・通信業
344,344,6851,6851
345,345,8899,8899
346,346,8902,8902
347,347,3398,小売業
348,348,8907,不動産業
349,349,6860,電気機器
350,350,8910,不動産業
351,351,1771,1771
352,352,8911,8911
353,353,2766,卸売業
354,354,8913,不動産業
355,355,8915,不動産業
356,356,2772,小売業
357,357,2775,2775
358,358,6873,6873
359,359,8921,8921
360,360,2779,2779
361,361,8924,8924
362,362,2781,2781
363,363,6878,電気機器
364,364,6053,サービス業
365,365,2786,小売業
366,366,6883,電気機器
367,367,6885,電気機器
368,368,6887,6887
369,369,3811,情報・通信業
370,370,2794,2794
371,371,8939,不動産業
372,372,4844,4844
